battle_id,pokemon_a_level,pokemon_a_type,pokemon_a_attack,pokemon_b_level,pokemon_b_type,pokemon_b_hp,opp1_level,opp2_level,used_spread_move,move_name,damage_to_opp1,damage_to_opp2,spillover_damage,pokemon_b_hp_remaining,pokemon_b_fainted,partner_vulnerable,battle_won,coordination,win_prob
225,32,Water,91,49,Flying,178,56,42,0,Thunderbolt,106.9,0.0,0.0,178,0,0.6,0,33.4,0.546
226,56,Fire,81,34,Flying,159,66,40,1,Bulldoze,47.0,76.3,27.1,132,0,0.6,0,42.1,0.5139
227,56,Water,102,17,Fire,150,54,64,0,Psychic,101.6,0.0,0.0,150,0,1.5,0,45.3,0.4251
228,35,Electric,72,52,Flying,187,35,63,1,Discharge,32.4,56.4,22.9,164,0,0.6,1,46.8,0.4963
229,40,Electric,77,40,Psychic,147,49,25,0,Thunderbolt,94.5,0.0,0.0,147,0,0.6,0,55.3,0.6136
230,42,Normal,72,51,Fire,158,37,49,1,Bulldoze,73.2,62.0,29.7,128,0,0.6,0,51.7,0.6104
231,43,Water,67,46,Water,183,46,51,1,Surf,50.3,54.3,20.2,163,0,0.6,1,59.7,0.5364
232,55,Water,80,45,Water,198,44,48,1,Surf,39.6,69.5,32.6,165,0,0.6,0,35.1,0.5841
233,49,Fire,97,51,Flying,176,60,36,1,Bulldoze,71.8,100.5,34.0,142,0,0.6,1,31.4,0.6414
234,59,Electric,103,34,Flying,151,52,40,0,Psychic,93.8,0.0,0.0,151,0,0.6,0,26.7,0.6104
235,53,Water,89,34,Fire,133,48,50,0,Body Slam,96.0,0.0,0.0,133,0,1.5,1,40.8,0.5622
236,35,Ground,74,30,Flying,129,55,54,0,Psychic,56.7,0.0,0.0,129,0,0.0,1,51.9,0.3655
237,30,Normal,94,49,Flying,186,44,47,1,Bulldoze,71.4,73.8,51.1,135,0,0.6,1,68.2,0.4825
238,35,Ground,86,36,Fire,182,54,43,1,Earthquake,49.9,43.6,95.0,87,0,1.5,0,43.8,0.2655
239,38,Water,71,35,Grass,150,57,61,1,Surf,43.5,46.0,21.2,129,0,0.6,0,53.1,0.3602
240,49,Electric,75,53,Grass,155,49,55,0,Body Slam,73.1,0.0,0.0,155,0,0.6,0,40.8,0.5855
241,58,Electric,103,46,Flying,184,49,66,0,Thunderbolt,96.3,0.0,0.0,184,0,0.6,1,10.9,0.5833
242,40,Electric,93,51,Water,175,30,43,1,Discharge,87.8,78.2,146.6,28,0,2.0,0,26.5,0.3987
243,45,Normal,91,55,Water,205,44,58,0,Flamethrower,76.6,0.0,0.0,205,0,0.6,1,68.3,0.5873
244,40,Electric,71,40,Water,163,29,34,0,Ice Beam,63.8,0.0,0.0,163,0,2.0,1,38.9,0.6163
245,38,Fire,68,49,Grass,198,61,51,0,Flamethrower,82.6,0.0,0.0,198,0,0.6,0,54.4,0.4933
246,60,Electric,90,36,Water,187,51,64,0,Body Slam,83.9,0.0,0.0,187,0,2.0,1,32.9,0.5286
247,47,Fire,86,51,Fire,159,53,41,1,Bulldoze,55.4,84.6,37.1,122,0,0.6,1,41.7,0.5936
248,17,Normal,61,63,Psychic,202,51,63,1,Bulldoze,56.9,48.6,18.1,184,0,0.6,1,46.6,0.4345
249,40,Electric,87,63,Grass,176,60,29,0,Thunderbolt,78.2,0.0,0.0,176,0,0.6,0,29.2,0.6493
250,41,Water,89,34,Water,134,38,54,1,Surf,58.6,53.9,50.4,84,0,0.6,0,27.3,0.4203
251,57,Electric,98,44,Fire,148,55,40,1,Discharge,79.6,85.3,32.9,115,0,0.6,1,46.5,0.6435
252,50,Normal,102,57,Grass,184,22,68,1,Bulldoze,81.7,70.0,55.3,129,0,0.6,1,71.0,0.6214
253,44,Ground,73,43,Water,160,49,33,0,Thunderbolt,77.7,0.0,0.0,160,0,1.5,0,46.2,0.5983
254,47,Electric,98,49,Flying,171,46,55,0,Flamethrower,101.6,0.0,0.0,171,0,0.6,1,59.9,0.6018
255,49,Fire,72,57,Psychic,181,55,44,0,Psychic,65.7,0.0,0.0,181,0,0.6,0,41.5,0.6138
256,73,Normal,107,47,Water,176,42,46,0,Psychic,97.7,0.0,0.0,176,0,0.6,1,57.7,0.7443
257,45,Normal,108,55,Grass,202,33,32,0,Flamethrower,127.3,0.0,0.0,202,0,0.6,1,65.3,0.7616
258,37,Water,74,54,Water,195,37,48,0,Ice Beam,102.2,0.0,0.0,195,0,0.6,0,67.7,0.6355
259,58,Fire,91,45,Grass,173,40,44,1,Bulldoze,85.0,76.1,34.5,138,0,0.6,1,15.1,0.6815
260,58,Water,91,42,Flying,159,36,41,1,Surf,53.2,72.3,26.5,132,0,0.6,1,43.3,0.6698
261,55,Electric,80,39,Flying,133,47,42,1,Discharge,52.0,85.3,33.7,99,0,0.6,1,61.1,0.5974
262,65,Electric,100,40,Grass,144,58,37,1,Discharge,93.4,91.4,32.6,111,0,0.6,1,63.3,0.6842
263,28,Ground,75,35,Grass,142,35,38,1,Earthquake,36.2,54.7,92.4,50,0,1.5,0,70.0,0.3091
264,41,Water,88,42,Flying,172,46,54,1,Surf,79.4,64.3,50.3,122,0,0.6,1,63.9,0.4689
265,54,Fire,94,41,Fire,163,63,40,1,Bulldoze,65.9,59.3,57.9,105,0,0.6,0,45.8,0.4755
266,38,Water,76,50,Water,175,44,35,0,Flamethrower,73.7,0.0,0.0,175,0,0.6,0,40.2,0.6091
267,31,Normal,75,40,Fire,172,48,34,0,Psychic,65.0,0.0,0.0,172,0,0.6,0,51.5,0.5037
268,29,Fire,64,70,Fire,222,35,40,0,Thunderbolt,82.9,0.0,0.0,222,0,0.6,0,62.6,0.6834
269,45,Electric,91,54,Fire,185,33,56,1,Discharge,50.9,79.2,45.9,139,0,0.6,1,63.4,0.5833
270,55,Fire,67,53,Psychic,191,22,47,0,Flamethrower,49.1,0.0,0.0,191,0,0.6,1,35.4,0.7048
271,35,Electric,57,57,Psychic,187,46,48,1,Discharge,26.9,47.3,32.5,154,0,0.6,0,22.9,0.494
272,38,Electric,75,39,Flying,170,44,41,0,Psychic,50.0,0.0,0.0,170,0,0.6,1,25.8,0.5037
273,44,Electric,75,28,Fire,130,40,27,1,Discharge,54.9,51.3,45.6,84,0,0.6,1,52.7,0.5025
274,47,Water,76,39,Psychic,170,61,29,1,Surf,45.3,47.1,34.7,135,0,0.6,0,84.1,0.4963
275,46,Fire,89,33,Fire,172,46,61,0,Psychic,68.0,0.0,0.0,172,0,0.6,0,67.3,0.4539
276,49,Water,70,41,Grass,153,49,43,1,Surf,48.9,50.4,28.0,125,0,0.6,0,28.5,0.5341
277,49,Water,84,33,Fire,150,32,39,1,Surf,77.0,41.3,96.3,54,0,1.5,0,39.7,0.4264
278,44,Fire,89,35,Fire,180,41,47,0,Body Slam,90.3,0.0,0.0,180,0,0.6,1,64.8,0.5527
279,53,Electric,82,27,Psychic,112,54,56,1,Discharge,76.9,57.3,31.1,81,0,0.6,1,80.7,0.4526
280,75,Fire,122,40,Fire,139,39,56,1,Bulldoze,97.2,68.5,59.2,80,0,0.6,0,19.5,0.6483
281,58,Normal,107,33,Water,161,22,45,0,Body Slam,105.8,0.0,0.0,161,0,0.6,1,22.0,0.6993
282,50,Fire,88,64,Flying,227,53,29,1,Bulldoze,78.4,65.9,42.5,184,0,0.6,0,61.6,0.6998
283,52,Water,98,53,Psychic,183,49,56,1,Surf,45.5,93.1,32.1,151,0,0.6,0,37.8,0.598
284,36,Ground,67,42,Water,159,59,40,1,Earthquake,72.5,49.9,69.8,89,0,1.5,0,27.3,0.375
285,41,Ground,91,36,Fire,126,57,48,1,Earthquake,68.8,59.1,125.5,0,1,1.5,0,40.4,0.151
286,53,Ground,95,31,Water,141,42,45,1,Earthquake,67.4,63.8,108.6,32,0,1.5,0,45.9,0.3647
287,53,Normal,86,43,Fire,171,45,57,0,Thunderbolt,85.3,0.0,0.0,171,0,0.6,0,52.9,0.5785
288,49,Water,92,37,Grass,166,24,45,1,Surf,61.4,75.4,40.3,126,0,0.6,1,59.2,0.6144
289,44,Normal,98,42,Fire,154,57,38,1,Bulldoze,101.9,85.1,29.2,125,0,0.6,0,50.6,0.6078
290,48,Normal,73,38,Flying,165,44,44,0,Thunderbolt,66.2,0.0,0.0,165,0,0.6,1,55.4,0.5575
291,50,Ground,65,52,Fire,209,54,23,0,Ice Beam,77.7,0.0,0.0,209,0,1.5,1,15.3,0.6843
292,50,Electric,90,48,Fire,169,49,55,1,Discharge,96.2,58.5,42.5,126,0,0.6,0,26.2,0.5618
293,37,Electric,74,45,Grass,156,72,44,0,Psychic,60.5,0.0,0.0,156,0,0.6,1,42.0,0.4262
294,44,Electric,91,33,Grass,147,52,23,1,Discharge,50.3,68.5,31.4,116,0,0.6,1,46.7,0.5486
295,57,Electric,110,48,Grass,154,35,39,1,Discharge,66.6,72.3,53.6,100,0,0.6,1,59.7,0.6567
296,48,Water,97,42,Water,151,36,35,0,Thunderbolt,94.0,0.0,0.0,151,0,0.6,1,25.4,0.6693
297,42,Normal,100,36,Psychic,160,57,64,1,Bulldoze,81.2,58.5,50.7,109,0,0.6,1,40.2,0.3627
298,31,Electric,76,46,Psychic,166,42,52,0,Body Slam,78.0,0.0,0.0,166,0,0.6,1,39.2,0.505
299,53,Water,116,47,Fire,147,52,31,1,Surf,91.7,90.4,124.0,23,0,1.5,0,29.3,0.4814
300,54,Ground,92,36,Psychic,174,37,52,1,Earthquake,67.6,77.5,81.3,93,0,1.5,0,44.3,0.4694
301,28,Water,71,49,Grass,221,38,49,0,Flamethrower,47.6,0.0,0.0,221,0,0.6,1,44.1,0.4933
302,34,Fire,49,57,Grass,188,56,53,1,Bulldoze,33.9,21.6,10.1,178,0,0.6,1,57.9,0.4654
303,42,Ground,107,43,Psychic,176,46,41,1,Earthquake,85.6,102.7,105.1,71,0,1.5,0,42.9,0.4466
304,33,Electric,69,42,Flying,185,44,37,1,Discharge,62.9,61.0,30.0,155,0,0.6,1,41.7,0.5261
305,43,Water,84,38,Fire,154,54,46,1,Surf,48.7,71.2,100.1,54,0,1.5,1,49.7,0.314
306,49,Electric,95,53,Grass,177,32,49,1,Discharge,86.8,52.9,53.2,124,0,0.6,1,19.1,0.6205
307,57,Water,104,41,Water,170,52,50,1,Surf,85.7,71.6,45.3,125,0,0.6,0,63.2,0.5655
308,37,Normal,59,42,Grass,152,43,52,0,Psychic,53.5,0.0,0.0,152,0,0.6,1,39.7,0.4806
309,42,Fire,78,36,Psychic,154,39,59,0,Thunderbolt,74.6,0.0,0.0,154,0,0.6,1,39.7,0.4908
310,40,Electric,85,48,Fire,165,45,56,1,Discharge,38.4,56.6,27.2,138,0,0.6,1,40.1,0.487
311,65,Electric,95,53,Psychic,179,44,40,1,Discharge,73.9,57.0,29.4,150,0,0.6,0,54.5,0.7232
312,53,Normal,97,43,Fire,133,46,36,1,Bulldoze,48.8,104.4,34.4,99,0,0.6,1,50.6,0.6484
313,63,Electric,107,50,Fire,191,31,39,0,Ice Beam,119.2,0.0,0.0,191,0,0.6,1,39.3,0.7868
314,57,Water,85,60,Water,209,50,45,1,Surf,43.5,88.9,48.4,161,0,0.6,0,58.0,0.6441
315,51,Normal,72,47,Fire,164,39,59,1,Bulldoze,56.8,48.2,26.8,137,0,0.6,1,54.3,0.5614
316,38,Normal,82,55,Flying,183,58,64,1,Bulldoze,67.5,57.3,37.8,145,0,0.6,0,31.1,0.4442
317,39,Electric,75,58,Flying,200,43,55,0,Thunderbolt,53.2,0.0,0.0,200,0,0.6,1,54.8,0.5587
318,50,Fire,78,42,Psychic,157,16,49,0,Thunderbolt,83.3,0.0,0.0,157,0,0.6,0,74.1,0.686
319,41,Water,77,51,Psychic,182,42,46,0,Thunderbolt,76.7,0.0,0.0,182,0,0.6,1,46.9,0.5995
320,44,Normal,95,50,Water,195,31,54,0,Flamethrower,101.4,0.0,0.0,195,0,0.6,0,58.0,0.6484
321,55,Normal,86,49,Water,141,40,52,1,Bulldoze,91.2,82.8,39.0,102,0,0.6,0,27.9,0.6637
322,24,Water,58,51,Grass,207,59,43,1,Surf,36.5,55.4,19.4,188,0,0.6,0,61.9,0.4343
323,44,Electric,77,35,Flying,147,46,57,0,Flamethrower,64.5,0.0,0.0,147,0,0.6,1,44.4,0.4644
324,54,Fire,85,65,Flying,237,39,37,0,Psychic,84.7,0.0,0.0,237,0,0.6,0,32.0,0.762
325,58,Ground,93,33,Psychic,164,56,43,0,Ice Beam,94.1,0.0,0.0,164,0,1.5,0,58.4,0.5758
326,26,Normal,67,36,Fire,173,38,23,1,Bulldoze,59.9,37.3,30.7,142,0,0.6,1,55.2,0.501
327,39,Electric,73,30,Flying,132,40,46,1,Discharge,51.0,63.7,32.3,100,0,0.6,1,49.0,0.4602
328,44,Ground,90,51,Fire,186,41,46,1,Earthquake,63.6,68.9,90.9,95,0,1.5,1,33.1,0.4622
329,31,Normal,58,28,Psychic,147,31,44,1,Bulldoze,40.0,42.4,21.9,125,0,0.6,0,69.4,0.4373
330,33,Water,89,29,Psychic,110,44,42,0,Ice Beam,84.0,0.0,0.0,110,0,0.6,0,60.5,0.4675
331,47,Water,86,51,Water,187,34,56,0,Body Slam,111.4,0.0,0.0,187,0,0.6,1,53.5,0.6608
332,48,Water,79,39,Water,181,45,45,1,Surf,45.9,43.0,41.5,140,0,0.6,1,85.3,0.4799
333,42,Fire,61,36,Fire,150,41,29,0,Flamethrower,72.7,0.0,0.0,150,0,0.6,1,55.8,0.5923
334,41,Ground,77,53,Fire,201,53,38,1,Earthquake,65.2,73.3,80.5,120,0,1.5,1,53.8,0.4756
335,54,Water,68,35,Water,175,49,42,0,Ice Beam,79.7,0.0,0.0,175,0,0.6,0,64.4,0.5777
336,50,Electric,105,41,Grass,174,53,65,0,Psychic,90.3,0.0,0.0,174,0,0.6,1,41.1,0.5004
337,54,Ground,101,30,Grass,110,48,58,0,Flamethrower,92.8,0.0,0.0,110,0,1.5,0,54.7,0.5135
338,34,Fire,70,44,Flying,186,46,39,0,Ice Beam,77.8,0.0,0.0,186,0,0.6,1,39.7,0.5434
339,34,Normal,80,43,Flying,163,45,43,0,Flamethrower,83.5,0.0,0.0,163,0,0.6,1,54.5,0.5343
340,44,Water,94,32,Water,123,37,59,0,Psychic,102.4,0.0,0.0,123,0,0.6,1,55.5,0.523
341,18,Normal,41,36,Psychic,147,60,25,1,Bulldoze,43.2,30.3,25.5,122,0,0.6,1,59.6,0.3584
342,42,Water,78,53,Fire,200,51,54,0,Flamethrower,71.0,0.0,0.0,200,0,1.5,0,31.0,0.5449
343,43,Fire,66,43,Grass,200,58,44,0,Ice Beam,56.1,0.0,0.0,200,0,0.6,1,87.6,0.4926
344,59,Ground,80,32,Fire,145,43,40,0,Ice Beam,93.4,0.0,0.0,145,0,1.5,1,61.9,0.6323
345,39,Ground,84,53,Water,193,54,57,1,Earthquake,39.6,80.4,94.7,98,0,1.5,0,47.7,0.338
346,45,Normal,74,50,Grass,167,45,34,0,Body Slam,74.3,0.0,0.0,167,0,0.6,1,62.8,0.6426
347,42,Ground,91,56,Flying,172,46,39,0,Ice Beam,94.2,0.0,0.0,172,0,0.0,1,47.8,0.6584
348,66,Fire,109,56,Water,199,27,36,1,Bulldoze,83.5,85.5,47.3,152,0,0.6,1,59.9,0.7969
349,42,Normal,82,51,Grass,159,54,45,1,Bulldoze,81.7,61.5,47.2,112,0,0.6,1,71.5,0.5297
350,55,Fire,91,40,Grass,169,52,49,0,Thunderbolt,105.1,0.0,0.0,169,0,0.6,0,39.6,0.6012
351,56,Fire,96,39,Grass,133,36,44,0,Ice Beam,78.1,0.0,0.0,133,0,0.6,1,27.2,0.6435
352,44,Fire,94,52,Fire,202,56,55,1,Bulldoze,58.6,56.7,23.8,178,0,0.6,0,37.7,0.5234
353,43,Ground,83,44,Fire,169,61,42,1,Earthquake,59.8,42.7,97.3,72,0,1.5,0,27.1,0.3175
354,50,Fire,101,32,Flying,168,51,21,0,Psychic,82.2,0.0,0.0,168,0,0.6,1,53.3,0.6156
355,38,Normal,51,52,Flying,163,44,28,0,Body Slam,55.1,0.0,0.0,163,0,0.6,0,58.1,0.6214
356,53,Electric,92,69,Grass,205,42,22,0,Body Slam,92.3,0.0,0.0,205,0,0.6,1,47.5,0.8087
357,39,Water,87,40,Flying,168,60,28,0,Flamethrower,76.2,0.0,0.0,168,0,0.6,0,55.9,0.5352
358,41,Fire,71,33,Grass,128,49,38,1,Bulldoze,52.2,65.8,15.9,112,0,0.6,0,61.4,0.5265
359,49,Ground,92,53,Fire,182,31,57,1,Earthquake,65.2,64.8,115.1,67,0,1.5,0,63.3,0.4302
360,43,Electric,88,45,Water,168,36,56,1,Discharge,54.7,78.0,124.5,44,0,2.0,1,49.0,0.3315
361,73,Water,95,41,Grass,148,55,52,0,Thunderbolt,114.7,0.0,0.0,148,0,0.6,0,46.9,0.6789
362,52,Electric,84,61,Water,187,54,53,1,Discharge,54.2,69.6,135.2,52,0,2.0,0,30.6,0.3594
363,53,Water,92,43,Flying,172,39,45,1,Surf,72.4,91.3,46.6,125,0,0.6,1,32.7,0.6254
364,30,Fire,68,62,Flying,227,51,45,0,Body Slam,70.0,0.0,0.0,227,0,0.6,0,53.4,0.5622
365,43,Water,83,37,Psychic,145,40,47,0,Psychic,90.5,0.0,0.0,145,0,0.6,1,40.9,0.5616
366,44,Electric,90,49,Grass,155,50,51,1,Discharge,64.2,78.0,31.0,124,0,0.6,1,64.7,0.5612
367,43,Ground,96,49,Psychic,174,54,53,1,Earthquake,63.9,76.0,106.0,68,0,1.5,0,31.8,0.3485
368,50,Fire,92,43,Fire,168,52,30,1,Bulldoze,93.0,61.1,30.5,138,0,0.6,0,51.9,0.6446
369,38,Fire,84,37,Grass,161,41,46,1,Bulldoze,67.8,85.3,32.2,129,0,0.6,1,43.5,0.5346
370,36,Electric,99,48,Psychic,172,58,30,1,Discharge,106.8,57.9,30.1,142,0,0.6,1,72.6,0.5945
371,47,Ground,92,40,Grass,150,32,64,1,Earthquake,82.7,81.5,103.0,47,0,1.5,1,75.2,0.3992
372,52,Fire,70,55,Grass,185,53,53,0,Thunderbolt,64.2,0.0,0.0,185,0,0.6,0,62.6,0.5917
373,46,Normal,100,42,Flying,180,54,35,1,Bulldoze,83.7,89.7,37.8,142,0,0.6,1,54.9,0.602
374,41,Fire,89,74,Grass,234,48,57,0,Psychic,90.1,0.0,0.0,234,0,0.6,0,45.8,0.6627
375,46,Normal,84,30,Flying,106,56,45,1,Bulldoze,40.5,49.9,45.3,61,0,0.6,1,44.0,0.3785
376,33,Normal,55,47,Grass,158,38,51,0,Ice Beam,57.9,0.0,0.0,158,0,0.6,0,50.1,0.5136
377,66,Fire,105,45,Psychic,156,46,68,1,Bulldoze,68.9,78.9,58.9,97,0,0.6,0,82.0,0.5399
378,49,Normal,76,33,Water,126,54,37,1,Bulldoze,57.0,58.1,41.9,84,0,0.6,1,37.1,0.4829
379,65,Ground,113,38,Psychic,183,38,67,1,Earthquake,73.8,107.6,130.6,52,0,1.5,0,35.7,0.398
380,35,Normal,93,44,Psychic,158,43,59,1,Bulldoze,81.3,76.8,23.5,134,0,0.6,1,41.3,0.5264
381,46,Ground,67,36,Grass,161,50,45,0,Ice Beam,80.9,0.0,0.0,161,0,1.5,1,65.8,0.5298
382,47,Electric,97,28,Water,128,56,30,0,Ice Beam,96.4,0.0,0.0,128,0,2.0,1,40.1,0.5479
383,23,Normal,68,43,Psychic,168,28,47,1,Bulldoze,58.9,52.1,16.0,152,0,0.6,0,43.2,0.5225
384,34,Fire,78,63,Fire,221,55,61,1,Bulldoze,41.4,50.1,38.4,183,0,0.6,0,54.7,0.4436
385,41,Water,86,38,Grass,166,45,53,0,Flamethrower,69.9,0.0,0.0,166,0,0.6,1,46.6,0.4899
386,45,Ground,66,44,Fire,181,63,45,0,Ice Beam,78.9,0.0,0.0,181,0,1.5,1,61.3,0.5136
387,43,Electric,75,49,Flying,208,45,50,0,Flamethrower,64.4,0.0,0.0,208,0,0.6,0,39.2,0.559
388,54,Electric,89,44,Grass,171,38,52,1,Discharge,56.7,67.4,38.5,132,0,0.6,1,38.2,0.5855
389,49,Ground,97,40,Grass,152,47,45,1,Earthquake,81.5,70.0,95.9,56,0,1.5,0,61.7,0.4252
390,48,Water,102,55,Grass,180,33,51,1,Surf,77.8,80.5,41.1,139,0,0.6,0,67.0,0.6639
391,34,Water,84,42,Grass,178,51,42,0,Ice Beam,77.3,0.0,0.0,178,0,0.6,0,38.4,0.5029
392,42,Normal,79,62,Flying,191,57,53,0,Ice Beam,61.2,0.0,0.0,191,0,0.6,0,38.1,0.5587
393,37,Normal,81,45,Flying,162,35,62,1,Bulldoze,70.5,91.7,38.5,124,0,0.6,1,63.1,0.5277
394,28,Electric,75,40,Flying,154,35,43,0,Psychic,70.2,0.0,0.0,154,0,0.6,1,56.0,0.5102
395,51,Fire,80,43,Grass,179,25,32,1,Bulldoze,70.3,53.7,45.2,134,0,0.6,0,34.9,0.6666
396,48,Normal,79,44,Fire,166,47,59,0,Psychic,56.1,0.0,0.0,166,0,0.6,1,49.8,0.5076
397,46,Water,89,37,Water,194,60,43,1,Surf,73.1,83.5,38.7,155,0,0.6,1,57.4,0.5027
398,51,Ground,97,37,Psychic,152,41,46,0,Flamethrower,111.7,0.0,0.0,152,0,1.5,1,42.6,0.6256
399,58,Electric,90,40,Water,161,49,49,1,Discharge,64.8,72.1,126.4,35,0,2.0,1,64.3,0.3567
400,47,Water,90,45,Water,172,42,63,0,Flamethrower,82.7,0.0,0.0,172,0,0.6,1,56.4,0.5445
401,51,Electric,91,28,Fire,141,69,52,1,Discharge,87.6,83.9,43.6,97,0,0.6,1,43.8,0.4223
402,51,Electric,95,29,Grass,130,66,56,1,Discharge,73.1,81.8,44.9,85,0,0.6,1,69.5,0.4002
403,77,Fire,125,44,Flying,201,40,60,1,Bulldoze,124.0,83.9,62.8,138,0,0.6,1,52.4,0.6967
404,48,Water,87,50,Psychic,198,25,44,1,Surf,70.9,70.5,46.1,152,0,0.6,0,55.6,0.6617
405,31,Water,80,52,Grass,185,39,46,0,Flamethrower,65.5,0.0,0.0,185,0,0.6,1,51.3,0.5529
406,48,Ground,87,51,Flying,193,51,43,0,Body Slam,95.5,0.0,0.0,193,0,0.0,0,49.7,0.6336
407,35,Water,72,43,Flying,167,56,55,1,Surf,51.3,76.8,28.1,139,0,0.6,0,63.0,0.4389
408,39,Fire,64,22,Psychic,134,39,34,1,Bulldoze,60.0,41.8,25.5,108,0,0.6,1,66.7,0.4698
409,35,Normal,51,48,Grass,199,47,51,1,Bulldoze,42.8,30.1,11.7,187,0,0.6,1,68.2,0.4844
410,45,Ground,85,39,Psychic,172,46,54,0,Body Slam,83.5,0.0,0.0,172,0,1.5,1,76.0,0.5244
411,38,Normal,73,40,Fire,180,34,30,0,Ice Beam,94.5,0.0,0.0,180,0,0.6,0,39.4,0.6393
412,34,Ground,71,54,Fire,199,29,33,0,Flamethrower,58.8,0.0,0.0,199,0,1.5,1,47.9,0.6511
413,35,Normal,86,37,Grass,160,26,33,1,Bulldoze,83.3,48.8,39.5,120,0,0.6,0,46.0,0.5794
414,50,Electric,79,51,Flying,171,61,52,1,Discharge,81.9,66.4,39.8,131,0,0.6,1,66.4,0.542
415,39,Ground,85,49,Water,200,55,39,0,Psychic,82.5,0.0,0.0,200,0,1.5,1,59.4,0.5653
416,48,Water,73,56,Fire,203,46,41,1,Surf,49.4,57.8,81.0,122,0,1.5,0,41.2,0.5002
417,56,Ground,89,45,Psychic,160,39,26,1,Earthquake,54.0,61.5,97.0,63,0,1.5,0,55.6,0.5381
418,47,Normal,80,19,Flying,135,39,67,0,Body Slam,73.8,0.0,0.0,135,0,0.6,0,54.8,0.4011
419,54,Water,95,44,Fire,165,23,59,0,Body Slam,95.1,0.0,0.0,165,0,1.5,1,73.3,0.6694
420,59,Water,93,43,Flying,169,34,53,0,Thunderbolt,92.7,0.0,0.0,169,0,0.6,1,79.8,0.6679
421,61,Water,90,40,Flying,181,35,42,0,Body Slam,112.3,0.0,0.0,181,0,0.6,1,71.9,0.7164
422,54,Electric,92,38,Psychic,162,52,48,0,Thunderbolt,95.3,0.0,0.0,162,0,0.6,1,60.4,0.5785
423,60,Normal,111,54,Fire,202,49,42,0,Body Slam,133.2,0.0,0.0,202,0,0.6,0,80.0,0.7467
424,29,Normal,74,44,Water,191,22,30,0,Psychic,64.4,0.0,0.0,191,0,0.6,0,40.7,0.6229
425,39,Fire,87,63,Grass,177,50,52,0,Thunderbolt,91.9,0.0,0.0,177,0,0.6,0,63.2,0.6153
426,46,Fire,78,39,Psychic,151,55,28,1,Bulldoze,57.2,54.3,33.6,117,0,0.6,0,55.8,0.544
427,40,Fire,86,50,Water,163,30,26,0,Body Slam,80.9,0.0,0.0,163,0,0.6,0,65.8,0.7036
428,35,Normal,79,54,Fire,187,32,53,1,Bulldoze,66.5,52.2,52.3,135,0,0.6,0,67.4,0.5189
429,51,Ground,99,40,Flying,163,37,54,0,Flamethrower,89.4,0.0,0.0,163,0,0.0,1,30.0,0.5992
430,51,Fire,98,43,Fire,155,53,48,0,Ice Beam,99.2,0.0,0.0,155,0,0.6,1,69.9,0.5893
431,52,Fire,103,44,Grass,196,60,47,0,Body Slam,87.3,0.0,0.0,196,0,0.6,0,48.9,0.5625
432,52,Fire,84,42,Psychic,175,33,36,1,Bulldoze,76.6,68.6,36.6,138,0,0.6,1,43.7,0.6693
433,54,Electric,91,56,Grass,190,48,52,1,Discharge,77.7,86.1,39.4,151,0,0.6,0,60.4,0.6514
434,51,Normal,90,53,Water,190,37,25,0,Flamethrower,74.1,0.0,0.0,190,0,0.6,1,31.1,0.7351
435,60,Fire,112,42,Flying,162,43,53,0,Flamethrower,122.8,0.0,0.0,162,0,0.6,1,40.0,0.6713
436,53,Normal,103,48,Psychic,166,61,49,1,Bulldoze,85.7,78.7,43.3,123,0,0.6,1,87.5,0.5644
437,44,Normal,68,48,Water,180,68,37,1,Bulldoze,48.5,39.9,28.3,152,0,0.6,0,58.5,0.481
438,51,Normal,89,30,Water,148,48,39,1,Bulldoze,55.3,63.8,49.1,99,0,0.6,1,61.8,0.4799
439,31,Normal,67,43,Grass,169,52,79,0,Thunderbolt,47.6,0.0,0.0,169,0,0.6,1,57.7,0.3215
440,36,Electric,87,43,Fire,152,25,36,0,Ice Beam,98.3,0.0,0.0,152,0,0.6,0,44.4,0.6585
441,68,Water,115,63,Grass,209,50,53,1,Surf,90.9,86.1,53.5,156,0,0.6,1,42.0,0.7161
442,50,Ground,93,46,Flying,147,38,52,1,Earthquake,90.3,71.5,0.0,147,0,0.0,1,51.5,0.7066
443,24,Water,85,47,Water,156,42,48,1,Surf,56.3,53.3,27.3,129,0,0.6,1,71.9,0.4613
444,57,Ground,91,55,Psychic,172,68,46,1,Earthquake,59.8,64.5,95.8,76,0,1.5,0,52.4,0.424
445,43,Normal,72,69,Flying,231,45,41,1,Bulldoze,60.1,37.3,31.3,200,0,0.6,0,76.3,0.6511
446,43,Water,100,52,Flying,180,38,27,0,Ice Beam,133.9,0.0,0.0,180,0,0.6,1,71.0,0.7492
447,43,Ground,91,39,Grass,166,43,38,1,Earthquake,79.2,75.5,84.2,82,0,1.5,1,61.5,0.4642
448,58,Ground,105,47,Fire,161,42,37,0,Ice Beam,84.7,0.0,0.0,161,0,1.5,0,58.2,0.6981
449,55,Ground,91,41,Flying,146,45,39,1,Earthquake,66.0,56.6,0.0,146,0,0.0,1,45.3,0.6842
450,29,Fire,83,46,Fire,180,41,49,1,Bulldoze,59.1,37.1,38.5,142,0,0.6,1,51.8,0.4368
451,59,Electric,107,35,Grass,138,47,36,1,Discharge,88.8,90.8,45.1,93,0,0.6,0,75.5,0.6415
