trainer_id,thunder_training,team_level,trainer_experience,badges_pre,electric_type_count,strategy_score,starter_type,wealth,surge_gym_win,turns_to_win,pokemon_remaining,propensity_true,patience,natural_talent
325,1,30,10.0,3,3,60.4,Grass,4,1,8,5,0.7008,36.73,63.29
326,1,32,6.7,1,3,36.7,Fire,3,1,8,3,0.5721,19.99,87.45
327,0,31,1.2,3,4,50.9,Grass,3,1,8,3,0.5562,43.72,75.99
328,0,21,2.0,2,1,43.4,Water,3,1,5,6,0.14,16.93,20.96
329,0,35,2.2,2,0,45.6,Fire,5,1,9,3,0.3068,23.67,97.62
330,1,35,6.4,2,0,46.2,Grass,5,1,6,3,0.3854,43.59,47.52
331,0,25,0.6,2,2,45.1,Fire,3,1,9,2,0.193,10.94,39.41
332,0,18,4.0,3,1,34.7,Water,4,0,11,0,0.2591,77.96,20.87
333,1,41,4.2,4,2,77.5,Fire,3,1,7,2,0.7423,78.13,75.18
334,0,46,0.5,2,3,22.2,Water,4,1,3,3,0.4135,6.96,68.11
335,1,31,12.0,5,3,58.1,Grass,3,1,4,5,0.7623,51.36,48.5
336,1,24,2.8,2,1,44.1,Fire,2,1,6,3,0.1487,17.02,1.72
337,0,31,1.1,0,0,47.0,Grass,2,1,5,3,0.2109,20.98,73.38
338,1,19,6.2,2,2,50.0,Fire,3,1,7,5,0.4046,67.82,24.47
339,0,29,1.0,3,0,48.2,Fire,3,1,8,5,0.1707,32.9,32.85
340,0,28,2.1,1,0,43.4,Grass,4,1,7,6,0.2198,55.4,32.78
341,0,32,4.3,5,3,52.2,Water,4,1,9,3,0.4086,18.71,23.46
342,0,37,1.9,5,2,52.8,Water,4,1,7,5,0.5401,76.56,50.74
343,1,30,0.4,3,3,63.3,Water,3,1,9,6,0.3956,7.94,87.5
344,0,21,4.8,3,0,34.2,Fire,2,0,12,1,0.1937,55.31,19.01
345,1,27,3.2,3,2,77.1,Water,4,1,4,6,0.5642,73.31,67.96
346,0,28,4.2,1,1,14.2,Water,3,0,15,4,0.1774,1.23,48.13
347,0,26,10.6,5,2,47.8,Fire,2,1,6,6,0.5888,66.06,22.06
348,0,32,2.4,4,1,55.2,Fire,3,1,12,3,0.4632,69.42,74.96
349,0,38,1.3,2,3,51.5,Water,2,1,8,3,0.4987,13.2,93.19
350,0,21,3.7,2,2,48.2,Water,4,1,3,3,0.4206,98.8,16.0
351,0,34,4.4,5,1,46.3,Grass,1,1,10,3,0.4936,60.72,74.34
352,0,32,2.5,3,1,59.7,Fire,3,1,5,3,0.3086,20.97,58.05
353,0,40,2.9,5,1,62.3,Grass,4,1,3,6,0.5158,46.56,79.16
354,0,26,2.6,2,1,48.2,Grass,2,1,10,1,0.2375,32.88,38.16
355,1,26,4.9,4,1,48.2,Grass,2,1,7,3,0.2175,6.51,28.91
356,1,43,9.0,4,1,71.0,Fire,3,1,3,2,0.8362,86.17,98.26
357,1,39,3.8,1,1,51.2,Fire,3,1,5,4,0.4559,33.31,74.44
358,0,38,12.0,3,1,74.7,Fire,3,1,3,5,0.7159,24.73,77.53
359,0,26,2.8,5,2,46.7,Water,3,1,10,6,0.4128,69.53,46.3
360,1,33,6.8,5,1,67.0,Grass,3,1,3,4,0.528,30.52,79.97
361,0,30,4.7,4,1,55.6,Water,5,1,9,2,0.3878,47.38,44.36
362,1,29,8.7,4,2,55.1,Fire,3,1,7,6,0.6346,59.46,60.44
363,1,39,3.5,4,1,41.4,Fire,2,1,9,5,0.4271,18.59,98.66
364,1,19,2.5,2,0,45.1,Grass,4,1,7,1,0.166,71.61,1.93
365,0,21,3.0,3,0,45.3,Water,2,1,4,6,0.1029,5.91,13.9
366,1,41,3.1,2,3,52.8,Fire,3,1,8,2,0.7164,70.97,79.35
367,0,24,6.4,1,0,51.1,Grass,3,1,4,1,0.3711,88.63,21.26
368,0,18,8.8,1,0,50.5,Water,2,0,10,1,0.3306,82.5,2.96
369,1,38,3.9,3,2,58.1,Grass,3,1,4,4,0.641,57.6,89.95
370,1,40,0.9,3,1,45.2,Water,5,1,5,3,0.2855,1.39,75.76
371,0,18,7.4,5,1,62.2,Fire,5,1,7,1,0.4864,99.52,27.66
372,1,32,0.7,4,4,46.1,Water,3,1,3,5,0.4046,2.85,69.32
373,0,31,0.2,1,0,41.8,Grass,4,1,9,2,0.133,8.47,42.74
374,0,24,1.4,2,4,48.9,Water,3,1,3,2,0.4697,33.14,83.01
375,0,34,3.2,5,0,43.5,Fire,2,1,2,2,0.211,11.47,45.58
376,1,34,7.2,4,2,57.3,Fire,2,1,2,5,0.6628,73.13,50.15
377,1,34,4.2,5,1,60.6,Fire,2,1,8,2,0.4187,33.51,62.46
378,0,21,2.6,2,0,40.9,Fire,4,1,6,6,0.1055,2.81,33.42
379,0,24,3.2,2,3,60.2,Grass,3,1,6,3,0.4855,53.38,56.94
380,0,21,2.9,3,1,52.8,Fire,4,1,6,6,0.2681,72.82,13.23
381,0,41,1.2,3,3,48.7,Water,3,1,4,2,0.6114,42.03,97.24
382,1,18,11.5,2,0,47.5,Grass,4,1,6,1,0.3455,46.99,27.79
383,1,45,2.6,0,3,68.0,Grass,3,1,7,6,0.8309,94.48,95.81
384,1,31,2.6,5,1,41.3,Grass,2,1,9,6,0.2513,18.46,52.76
385,0,43,3.1,2,3,60.6,Fire,2,1,4,5,0.7799,84.36,81.87
386,1,33,1.0,0,0,56.0,Water,4,1,9,4,0.3055,39.49,88.08
387,0,36,1.1,2,1,39.6,Grass,3,0,10,2,0.224,11.66,43.7
388,1,31,12.0,5,4,82.1,Water,3,1,7,5,0.9047,74.78,81.49
389,1,17,3.0,4,3,47.3,Water,3,1,2,6,0.4575,84.58,50.19
390,0,31,1.8,1,2,60.0,Grass,3,1,11,1,0.4769,74.12,45.26
391,0,23,2.1,1,2,36.3,Water,3,1,5,2,0.2082,13.36,46.08
392,0,25,2.3,2,1,40.2,Fire,3,1,3,3,0.2491,53.1,35.17
393,0,23,6.4,5,1,54.3,Water,1,1,5,4,0.2862,20.09,39.23
394,0,31,2.5,3,0,63.2,Fire,3,1,7,5,0.3548,66.28,54.31
395,0,31,1.3,3,1,50.4,Water,2,1,8,3,0.3208,41.24,69.37
396,0,34,1.8,4,3,29.7,Grass,3,1,6,3,0.4484,21.06,95.91
397,1,37,3.3,3,1,58.1,Grass,3,1,5,1,0.3768,5.43,84.36
398,0,35,1.7,4,2,46.7,Fire,4,1,7,1,0.5011,55.83,82.92
399,0,25,2.1,5,2,49.5,Grass,3,1,4,6,0.4515,85.22,54.48
400,1,23,3.1,2,1,36.6,Grass,4,1,3,2,0.2424,55.1,30.18
